,BAR,SPD,RCO,GUR,LEA,CAR,TAR,SNA,KAH,SPO,SCH,ELP,ELI,FLA,MJE,MAC,RFP,RFI,PFL,PFS,DEM,CEP
1800,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1801,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1802,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1803,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1804,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1805,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1806,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1807,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1808,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1809,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1810,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1811,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1812,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1813,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1814,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1815,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1816,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1817,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1818,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1819,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1820,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1821,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1822,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1823,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1824,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
1825,7.38E-06,0,4.27E-05,0.000157239,0,0,9.51E-05,0.000335381,9.00E-06,0,2.02E-05,0,0,0.001048536,2.23E-05,2.99E-05,0.000691034,6.71E-05,0,4.00E-06,0.000142869,0
